,Week,Team,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,ScoreDiff,RushAttDiff,RushYdsDiff,PassAttDiff,PassCompDiff,PassYdsDiff,PassIntDiff,FumblesDiff
115,09/09/2000,Army,17.0,39,161,38,20,193,3,0,Boston College,55.0,48,252,30,20,335,0,0,-38.0,-9,-91,8,0,-142,3,0
116,09/09/2000,Auburn,35.0,51,261,26,13,160,0,1,Mississippi,27.0,32,152,26,11,105,3,0,8.0,19,109,0,2,55,-3,1
117,09/09/2000,Ball State,14.0,36,165,33,16,156,4,1,Western Illinois,24.0,50,196,18,6,66,1,1,-10.0,-14,-31,15,10,90,3,0
118,09/09/2000,Boise State,42.0,37,238,26,17,351,2,0,Northern Iowa,17.0,43,134,36,18,243,0,1,25.0,-6,104,-10,-1,108,2,-1
119,09/09/2000,Boston College,55.0,48,252,30,20,335,0,0,Army,17.0,39,161,38,20,193,3,0,38.0,9,91,-8,0,142,-3,0
120,09/09/2000,Bowling Green,16.0,39,35,39,19,197,1,1,Pittsburgh,34.0,35,36,32,22,321,0,3,-18.0,4,-1,7,-3,-124,1,-2
121,09/09/2000,Buffalo,0.0,37,-7,45,24,223,1,3,Rutgers,59.0,39,187,29,19,266,0,1,-59.0,-2,-194,16,5,-43,1,2
122,09/09/2000,Brigham Young,23.0,26,125,40,18,235,1,2,Air Force,31.0,53,186,16,11,203,0,0,-8.0,-27,-61,24,7,32,1,2
123,09/09/2000,California,24.0,45,120,28,18,209,1,2,Utah,21.0,38,139,31,16,158,1,3,3.0,7,-19,-3,2,51,0,-1
124,09/09/2000,Central Florida,19.0,33,132,34,21,253,1,0,Northwestern St(LA),7.0,42,189,31,9,128,1,1,12.0,-9,-57,3,12,125,0,-1
125,09/09/2000,Cincinnati,12.0,35,155,35,16,188,0,2,Syracuse,10.0,37,105,30,21,221,2,1,2.0,-2,50,5,-5,-33,-2,1
126,09/09/2000,Clemson,62.0,50,206,24,15,275,0,1,Missouri,9.0,36,72,28,14,144,3,3,53.0,14,134,-4,1,131,-3,-2
127,09/09/2000,Central Michigan,17.0,50,171,19,9,173,0,0,Akron,7.0,39,184,24,8,68,2,0,10.0,11,-13,-5,1,105,-2,0
128,09/09/2000,Colorado,14.0,38,137,27,17,231,0,1,Southern Cal,17.0,38,158,31,25,275,1,0,-3.0,0,-21,-4,-8,-44,-1,1
129,09/09/2000,Colorado State,41.0,43,297,34,22,219,1,1,East Tennessee St,7.0,36,127,25,13,154,1,3,34.0,7,170,9,9,65,0,-2
130,09/09/2000,Duke,5.0,32,44,32,11,130,4,0,Northwestern,38.0,52,259,30,18,213,0,0,-33.0,-20,-215,2,-7,-83,4,0
131,09/09/2000,East Carolina,28.0,39,87,47,23,331,3,0,Virginia Tech,45.0,36,205,16,9,106,0,1,-17.0,3,-118,31,14,225,3,-1
132,09/09/2000,Eastern Michigan,17.0,32,135,43,23,228,1,0,"Miami, Ohio",34.0,42,179,29,13,232,1,1,-17.0,-10,-44,14,10,-4,0,-1
133,09/09/2000,Florida,55.0,30,158,41,26,299,1,2,Mid Tennessee St,0.0,35,90,32,17,139,1,4,55.0,-5,68,9,9,160,0,-2
134,09/09/2000,Fresno State,21.0,23,26,33,20,249,0,1,U.C.L.A.,24.0,48,135,33,17,135,0,0,-3.0,-25,-109,0,3,114,0,1
135,09/09/2000,Florida State,26.0,34,73,40,26,463,1,1,Georgia Tech,21.0,34,79,37,22,219,0,0,5.0,0,-6,3,4,244,1,1
136,09/09/2000,Georgia,10.0,28,94,24,10,108,5,0,South Carolina,21.0,43,133,28,18,154,1,0,-11.0,-15,-39,-4,-8,-46,4,0
137,09/09/2000,Georgia Tech,21.0,34,79,37,22,219,0,0,Florida State,26.0,34,73,40,26,463,1,1,-5.0,0,6,-3,-4,-244,-1,-1
138,09/09/2000,Houston,13.0,27,84,54,29,354,2,2,Louisiana State,28.0,39,120,26,12,177,2,1,-15.0,-12,-36,28,17,177,0,1
139,09/09/2000,Iowa State,37.0,42,150,31,16,286,1,0,Nevada-Las Vegas,22.0,47,197,25,9,190,1,1,15.0,-5,-47,6,7,96,0,-1
140,09/09/2000,Idaho,38.0,39,131,47,31,303,3,0,Montana,45.0,19,48,52,33,505,0,2,-7.0,20,83,-5,-2,-202,3,-2
141,09/09/2000,Illinois,49.0,44,259,26,19,158,0,2,San Diego State,13.0,34,99,36,19,151,2,0,36.0,10,160,-10,0,7,-2,2
142,09/09/2000,Indiana,38.0,44,236,27,14,240,0,1,No Carolina State,41.0,23,73,52,31,401,1,0,-3.0,21,163,-25,-17,-161,-1,1
143,09/09/2000,Iowa,21.0,31,49,34,23,314,0,2,Western Michigan,27.0,36,59,31,21,294,1,1,-6.0,-5,-10,3,2,20,-1,1
144,09/09/2000,Kent State,10.0,33,129,30,20,190,0,1,Purdue,45.0,37,168,54,36,437,1,2,-35.0,-4,-39,-24,-16,-247,-1,-1
145,09/09/2000,Kentucky,27.0,30,145,58,30,382,1,0,South Florida,9.0,36,134,24,19,81,1,1,18.0,-6,11,34,11,301,0,-1
