,Unnamed: 0,Date,TeamName,ScoreOff,RushAttOff,RushYdsOff,PassAttOff,PassCompOff,PassYdsOff,PassIntOff,FumblesOff,Opponent,ScoreDef,RushAttDef,RushYdsDef,PassAttDef,PassCompDef,PassYdsDef,PassIntDef,FumblesDef,Site,Line ,ScoreDiff,RushAttDiff,RushYdsDiff,PassAttDiff,PassCompDiff,PassYdsDiff,PassIntDiff,FumblesDiff,season
88,88,08/30/2008,Texas Christian,26,48,171,26,16,120,1,0,New Mexico,3,32,56,24,7,130,2,1,V,6.5,23,16,115,2,9,-10,-1,-1,2008
89,89,08/30/2008,Texas Tech,49,25,103,58,43,536,1,1,Eastern Washington,24,22,23,63,38,341,3,0,H, ,25,3,80,-5,5,195,-2,1,2008
90,90,08/30/2008,Tulsa,45,38,240,25,21,361,0,0,U-A-B,22,36,245,31,17,169,1,2,V,13.5,23,2,-5,-6,4,192,-1,-2,2008
91,91,08/30/2008,U-A-B,22,36,245,31,17,169,1,2,Tulsa,45,38,240,25,21,361,0,0,H,-13.5,-23,-2,5,6,-4,-192,1,2,2008
92,92,08/30/2008,U-C-F,17,59,228,16,9,90,0,1,So Carolina State,0,23,52,21,11,74,1,1,H, ,17,36,176,-5,-2,16,-1,0,2008
93,93,08/30/2008,UL-Lafayette,21,43,263,24,11,131,2,2,Southern Miss,51,61,427,22,14,206,2,0,V,-10,-30,-18,-164,2,-3,-75,0,2,2008
94,94,08/30/2008,UL-Monroe,0,30,84,38,20,136,0,2,Auburn,34,46,321,27,13,85,1,0,V,-26,-34,-16,-237,11,7,51,-1,2,2008
95,95,08/30/2008,Utah,25,43,36,34,21,305,1,2,Michigan,23,25,36,38,19,167,1,2,V,-3,2,18,0,-4,2,138,0,0,2008
96,96,08/30/2008,Utah State,17,37,111,33,18,203,1,1,Nevada-Las Vegas,27,30,132,32,19,221,0,0,V,-12.5,-10,7,-21,1,-1,-18,1,1,2008
97,97,08/30/2008,Virginia,7,21,32,35,18,155,1,3,Southern Cal,52,41,218,37,27,340,1,1,H,-19.5,-45,-20,-186,-2,-9,-185,0,2,2008
98,98,08/30/2008,Virginia Tech,22,35,104,23,14,139,2,0,East Carolina,27,41,158,25,19,211,0,2,N,9,-5,-6,-54,-2,-5,-72,2,-2,2008
99,99,08/30/2008,Washington,10,43,95,35,17,147,0,1,Oregon,44,44,256,28,16,240,1,0,V,-13.5,-34,-1,-161,7,1,-93,-1,1,2008
100,100,08/30/2008,Washington State,13,34,114,25,12,82,1,0,Oklahoma State,39,42,174,27,20,193,1,0,N,-7,-26,-8,-60,-2,-8,-111,0,0,2008
101,101,08/30/2008,West Virginia,48,22,149,34,26,205,1,0,Villanova,21,50,133,37,21,266,2,1,H, ,27,-28,16,-3,5,-61,-1,-1,2008
102,102,08/30/2008,Western Kentucky,13,31,63,31,19,219,0,1,Indiana,31,41,297,30,18,153,1,0,V,-19,-18,-10,-234,1,1,66,-1,1,2008
103,103,08/30/2008,Western Michigan,24,25,8,49,30,342,1,1,Nebraska,47,31,138,36,20,345,2,0,V,-14,-23,-6,-130,13,10,-3,-1,1,2008
104,104,08/30/2008,Wisconsin,38,63,404,10,7,75,1,2,Akron,17,22,70,37,22,227,0,1,H,26.5,21,41,334,-27,-15,-152,1,1,2008
105,105,08/30/2008,Wyoming,21,40,160,22,14,111,2,0,Ohio,20,21,39,41,29,248,1,1,H,13.5,1,19,121,-19,-15,-137,1,-1,2008
106,106,08/31/2008,Colorado,38,36,153,29,20,214,1,1,Colorado State,17,26,71,38,27,187,2,0,N,11.5,21,10,82,-9,-7,27,-1,1,2008
107,107,08/31/2008,Colorado State,17,26,71,38,27,187,2,0,Colorado,38,36,153,29,20,214,1,1,N,-11.5,-21,-10,-82,9,7,-27,1,-1,2008
108,108,08/31/2008,Kentucky,27,33,63,31,16,147,0,1,Louisville,2,29,53,43,20,152,3,2,V,-3.5,25,4,10,-12,-4,-5,-3,-1,2008
109,109,08/31/2008,Louisville,2,29,53,43,20,152,3,2,Kentucky,27,33,63,31,16,147,0,1,H,3.5,-25,-4,-10,12,4,5,3,1,2008
110,110,09/01/2008,Fresno State,24,39,206,24,11,216,0,0,Rutgers,7,34,106,39,20,263,2,0,V,-3,17,5,100,-15,-9,-47,-2,0,2008
111,111,09/01/2008,Rutgers,7,34,106,39,20,263,2,0,Fresno State,24,39,206,24,11,216,0,0,H,3,-17,-5,-100,15,9,47,2,0,2008
112,112,09/01/2008,Tennessee,24,34,177,42,19,189,1,1,U.C.L.A.,27,31,29,43,25,259,4,0,V,7.5,-3,3,148,-1,-6,-70,-3,1,2008
113,113,09/01/2008,U.C.L.A.,27,31,29,43,25,259,4,0,Tennessee,24,34,177,42,19,189,1,1,H,-7.5,3,-3,-148,1,6,70,3,-1,2008
114,114,09/04/2008,South Carolina,17,29,92,39,23,233,2,1,Vanderbilt,24,41,135,13,8,90,0,1,V,9.5,-7,-12,-43,26,15,143,2,0,2008
115,115,09/04/2008,Vanderbilt,24,41,135,13,8,90,0,1,South Carolina,17,29,92,39,23,233,2,1,H,-9.5,7,12,43,-26,-15,-143,-2,0,2008
